TFT,TFT-median,TFT-lo-90,TFT-lo-80,TFT-hi-80,TFT-hi-90
10205.487,10206.877,10090.921,10114.287,10300.286,10320.225
10311.342,10309.624,10192.42,10216.443,10402.371,10434.616
10315.159,10314.273,10201.831,10223.829,10408.682,10434.355
10240.967,10235.783,10121.284,10143.548,10335.119,10376.976
10212.397,10211.807,10092.378,10119.6,10305.315,10327.582
10221.237,10219.949,10104.016,10129.546,10313.98,10340.979
10150.0,10148.502,10032.912,10064.265,10241.527,10270.04
10257.642,10257.096,10143.589,10166.98,10347.497,10376.298
10121.291,10119.393,10004.064,10033.938,10219.839,10246.493
9820.113,9819.746,9703.929,9725.606,9909.209,9939.23
9402.4,9402.591,9280.186,9315.275,9495.412,9514.995
8965.038,8963.857,8846.1455,8875.231,9056.591,9081.093
8619.004,8616.4,8501.427,8526.222,8711.801,8740.482
8369.838,8369.459,8251.927,8278.293,8463.263,8489.429
8214.863,8216.172,8098.935,8125.6606,8305.789,8330.83
8142.2007,8141.013,8017.924,8047.8706,8236.694,8258.619
8278.137,8277.996,8162.099,8190.25,8366.545,8398.086
8694.052,8691.987,8581.576,8606.097,8784.313,8808.352
9375.153,9375.906,9256.385,9284.609,9464.298,9489.493
9752.902,9750.18,9641.571,9661.837,9843.191,9873.547
10016.992,10015.957,9900.954,9925.611,10111.628,10136.284
10127.212,10124.797,10004.043,10033.098,10225.123,10245.046
10172.933,10172.218,10056.755,10085.077,10262.792,10292.357
10135.072,10135.432,10022.83,10051.31,10225.525,10248.292
10054.552,10053.992,9934.663,9963.618,10143.618,10173.491
9969.447,9967.703,9847.183,9878.6875,10059.993,10086.857
9908.092,9907.629,9789.844,9818.271,9997.088,10030.29
9836.229,9841.096,9710.168,9744.25,9925.786,9953.719
9841.302,9841.064,9729.93,9751.013,9935.353,9967.209
9923.662,9924.387,9810.438,9836.13,10016.616,10038.403
9995.668,9995.63,9882.609,9902.281,10085.509,10117.103
10066.263,10066.451,9943.307,9977.905,10158.975,10184.474
9896.521,9898.407,9771.257,9801.461,9991.082,10017.361
9594.444,9593.221,9480.34,9504.95,9691.671,9714.781
9183.076,9182.05,9056.097,9090.58,9275.967,9303.56
8705.486,8704.43,8594.517,8613.882,8796.342,8826.287
8342.186,8340.408,8221.71,8249.776,8438.842,8459.395
8102.839,8104.663,7980.7505,8016.3174,8197.298,8228.508
7965.3096,7965.709,7850.0874,7875.5093,8057.4937,8088.955
7856.5425,7857.5615,7739.898,7764.027,7943.704,7970.256
7852.0093,7852.9507,7733.0776,7764.124,7941.033,7963.0493
7995.869,7997.175,7871.9976,7902.054,8086.9106,8104.5586
8327.344,8325.486,8207.443,8233.678,8424.592,8451.337
8487.321,8488.293,8367.181,8398.124,8575.951,8605.791
8688.163,8688.973,8564.417,8597.512,8780.057,8809.572
8835.755,8835.359,8713.263,8738.162,8934.149,8962.114
8979.33,8980.938,8868.376,8888.186,9072.122,9098.659
9030.797,9032.322,8909.783,8933.316,9125.631,9154.868
9137.248,9135.307,9022.476,9044.396,9227.744,9256.785
8986.889,8988.967,8867.234,8897.024,9077.486,9096.199
8820.158,8820.615,8699.987,8725.394,8913.784,8939.778
8744.459,8745.916,8627.346,8651.819,8834.304,8858.9
8835.97,8835.959,8718.997,8740.737,8929.626,8962.215
9006.029,9006.341,8884.731,8915.127,9099.979,9128.8
9158.198,9156.628,9040.661,9067.387,9252.18,9277.328
9297.372,9295.1875,9186.33,9206.543,9387.735,9417.349
9129.66,9130.648,9007.913,9038.795,9215.1875,9244.257
8880.509,8878.831,8754.771,8783.303,8975.286,8998.532
8527.748,8526.544,8410.677,8438.472,8622.835,8644.169
8139.1123,8136.73,8020.4097,8047.7583,8237.499,8264.459
7764.72,7765.2236,7653.902,7674.051,7853.6304,7877.38
7503.927,7503.1455,7383.081,7410.6,7596.813,7622.551
7348.366,7351.17,7231.0205,7261.2593,7439.8896,7462.0176
7273.42,7272.3145,7154.4,7180.8027,7363.2563,7391.306
7276.0605,7275.3955,7156.6484,7182.307,7368.126,7397.2407
7365.549,7364.4316,7246.346,7273.8833,7462.426,7489.8394
7587.053,7584.157,7471.7593,7497.8525,7679.565,7703.579
7704.5654,7702.79,7583.343,7613.019,7793.511,7826.064
7995.007,7998.01,7871.802,7903.716,8085.939,8114.897
8298.177,8297.009,8183.08,8208.796,8387.121,8411.695
8546.766,8547.078,8421.679,8460.903,8635.727,8658.502
8699.218,8696.672,8581.616,8610.565,8790.602,8817.077
8856.229,8855.266,8742.766,8768.123,8948.109,8974.313
8920.5,8919.615,8799.865,8830.179,9012.485,9042.034
8910.665,8909.924,8796.027,8827.875,8998.2,9020.5625
8942.988,8940.538,8827.451,8851.862,9033.767,9072.176
9002.554,9003.627,8883.236,8916.876,9090.229,9114.307
9140.557,9140.958,9028.376,9051.394,9231.529,9260.996
9230.407,9227.505,9119.842,9141.108,9322.021,9347.349
9404.252,9402.109,9297.679,9320.067,9489.775,9522.8545
9355.115,9355.605,9234.144,9261.719,9447.526,9476.769
9107.111,9106.663,8991.008,9010.181,9206.162,9231.903
8772.163,8773.988,8654.203,8680.831,8863.475,8890.877
8417.095,8417.12,8295.118,8321.3125,8509.256,8534.939
8152.8496,8153.804,8039.37,8060.64,8244.498,8270.316
7950.188,7951.834,7833.3228,7856.64,8041.2627,8071.478
7858.658,7853.4365,7742.9067,7767.0547,7951.432,7978.6313
7860.614,7859.535,7740.381,7766.9995,7953.543,7980.369
8067.406,8067.084,7951.157,7977.616,8158.1924,8187.264
8584.562,8583.605,8467.29,8498.276,8673.576,8705.59
9263.354,9262.622,9142.67,9168.419,9353.478,9380.368
9671.486,9672.514,9548.537,9572.756,9758.147,9783.107
9873.464,9875.536,9748.755,9777.724,9964.561,9989.013
9931.854,9931.593,9815.2295,9839.37,10022.853,10048.904
9970.681,9970.463,9859.284,9888.942,10057.154,10087.841
9923.12,9924.535,9808.161,9835.681,10008.209,10035.636
9917.791,9918.463,9795.975,9822.7,10009.89,10038.73
9964.706,9960.99,9845.259,9872.9,10057.644,10082.167
9920.373,9919.021,9806.781,9830.923,10013.411,10041.156
9813.707,9817.609,9689.367,9723.338,9902.294,9926.61
9725.934,9727.072,9610.914,9635.277,9815.996,9841.456
9704.258,9707.079,9582.509,9604.323,9794.619,9817.141
9715.072,9714.877,9598.222,9619.214,9812.226,9845.431
9918.6,9917.082,9796.308,9826.818,10009.495,10040.487
9889.031,9888.939,9773.312,9793.912,9983.046,10002.816
9605.294,9603.955,9486.737,9513.523,9692.343,9716.891
9215.681,9215.006,9099.116,9124.196,9310.5625,9331.966
8815.655,8818.902,8700.093,8723.355,8899.215,8924.521
8496.486,8497.352,8379.377,8403.578,8586.473,8616.579
8263.77,8264.424,8140.71,8174.436,8359.734,8389.817
8150.857,8149.5703,8029.022,8059.3926,8244.714,8265.346
8159.941,8159.5137,8038.483,8065.1245,8258.209,8285.629
8328.839,8329.804,8207.168,8236.691,8418.21,8442.285
8766.193,8766.066,8649.684,8674.685,8847.784,8877.728
9449.948,9451.027,9332.403,9360.105,9540.174,9559.367
9884.234,9884.281,9763.044,9792.057,9978.318,10002.947
10200.772,10198.83,10089.821,10111.945,10291.541,10315.945
10385.57,10386.199,10268.286,10294.067,10474.933,10502.051
10498.306,10496.075,10379.493,10406.95,10592.752,10612.798
10572.458,10572.66,10450.052,10481.445,10663.857,10691.859
10540.496,10540.363,10421.334,10448.082,10631.944,10655.631
10449.381,10452.0205,10329.943,10359.477,10535.594,10566.249
10332.857,10337.704,10209.391,10238.177,10417.057,10441.192
10228.433,10226.359,10119.258,10140.172,10318.131,10345.985
10156.234,10155.841,10037.717,10065.11,10246.332,10276.364
10209.98,10209.445,10084.299,10115.5625,10302.536,10335.024
10163.296,10162.252,10049.197,10073.516,10253.818,10281.242
10311.344,10311.816,10189.895,10214.798,10403.877,10436.238
10252.302,10254.854,10140.608,10168.631,10337.766,10362.963
9934.914,9936.408,9817.331,9842.288,10024.437,10055.843
9498.674,9500.192,9379.423,9408.446,9586.122,9616.278
9513.854,9514.893,9385.416,9418.296,9611.783,9642.071
9338.046,9336.768,9214.73,9241.116,9431.705,9462.537
9335.605,9333.409,9220.151,9246.905,9428.888,9457.325
9439.705,9438.213,9309.419,9341.785,9539.298,9568.672
9709.644,9712.064,9574.9375,9605.373,9808.874,9841.4
10356.826,10355.874,10239.263,10265.494,10449.331,10480.086
11144.639,11144.562,11010.695,11044.636,11241.561,11270.014
11449.944,11449.082,11328.7,11358.315,11539.291,11576.377
