,TFT,TFT-median,TFT-lo-90,TFT-lo-80,TFT-hi-80,TFT-hi-90
258,11487.142,11484.662,11336.405,11372.965,11606.597,11643.789
259,11062.662,11064.123,10906.236,10941.671,11181.314,11224.654
260,11060.514,11061.162,10896.857,10944.221,11178.196,11206.405
261,11171.969,11172.918,11014.54,11050.568,11285.503,11321.973
262,11126.745,11126.469,10969.822,11007.176,11244.089,11282.591
263,10890.184,10887.227,10731.13,10772.38,11014.231,11052.719
264,11589.144,11589.879,11372.086,11418.56,11746.187,11804.399
265,11216.35,11214.24,11035.363,11075.699,11358.918,11404.547
266,11185.248,11185.867,11018.752,11059.443,11311.042,11345.577
267,10951.123,10951.504,10780.419,10820.371,11083.708,11127.394
268,11121.886,11123.857,10952.118,10989.635,11250.133,11295.933
269,11238.868,11241.506,11068.199,11107.751,11360.815,11409.688
270,11587.366,11588.65,11417.852,11463.196,11712.314,11743.926
271,12021.696,12016.676,11850.36,11891.316,12158.568,12193.864
272,12178.501,12179.762,11991.782,12041.65,12315.335,12378.474
273,11968.885,11966.861,11806.212,11842.006,12095.887,12134.773
274,11965.849,11966.681,11800.558,11838.792,12087.315,12122.853
275,12161.887,12171.08,11885.4795,11956.953,12365.944,12434.905
276,11988.514,11984.036,11764.258,11817.12,12165.636,12219.435
277,12182.239,12182.371,11993.264,12039.494,12322.237,12360.137
278,12276.745,12274.35,11947.989,12039.14,12528.245,12609.837
279,11794.318,11795.732,11637.993,11668.877,11917.265,11946.729
280,12154.62,12152.325,11973.721,12026.502,12291.053,12348.916
281,12252.237,12253.3125,11867.658,11968.445,12512.688,12594.917
282,12310.94,12312.037,11874.249,11983.479,12635.508,12751.056
283,12114.26,12126.463,11552.067,11692.02,12538.138,12682.105
284,12034.42,12030.135,11459.218,11590.967,12490.755,12660.548
285,11818.451,11816.505,11660.663,11694.952,11939.236,11979.144
286,11664.237,11670.441,11202.943,11334.365,11988.585,12112.886
287,11434.563,11428.849,11145.892,11228.04,11652.413,11712.518
288,11248.549,11246.986,10952.036,11024.997,11473.193,11568.008
289,11519.764,11522.004,11319.701,11365.016,11681.465,11723.364
290,11248.84,11248.635,11027.871,11081.225,11413.013,11484.242
291,11171.31,11171.013,10983.756,11025.712,11309.73,11352.488
292,11401.314,11404.4375,11239.485,11280.962,11528.036,11562.002
293,11778.851,11781.52,11603.233,11646.347,11910.331,11950.647
294,12035.934,12033.125,11802.823,11856.733,12225.361,12269.733
295,12171.541,12166.775,11767.049,11869.192,12477.123,12585.3
296,12120.325,12124.67,11734.529,11821.301,12404.605,12509.761
297,12068.533,12066.047,11681.858,11769.774,12385.413,12485.098
298,12048.476,12054.024,11695.459,11767.465,12310.2,12417.344
299,11809.248,11806.029,11643.68,11678.169,11936.404,11977.1045
300,11983.636,11986.998,11551.6,11678.4,12279.559,12377.747
301,11926.034,11923.369,11552.406,11649.029,12204.993,12287.129
302,12005.879,11994.217,11647.856,11733.064,12285.308,12397.788
303,12029.564,12034.992,11732.005,11797.8955,12251.203,12342.831
304,12031.258,12032.686,11858.81,11893.411,12173.82,12215.685
305,12285.909,12296.568,11390.549,11659.692,12871.657,13100.762
306,12416.582,12418.531,11752.775,11924.52,12895.383,13104.158
307,12126.018,12127.536,11074.217,11402.304,12839.285,13155.755
308,12002.182,12005.625,11807.954,11856.475,12141.807,12195.005
309,11898.289,11894.705,10799.776,11055.242,12708.314,12957.538
310,11557.404,11551.309,10985.894,11123.313,11993.283,12150.116
311,11486.082,11501.997,10870.233,11014.812,11939.612,12099.604
312,10743.888,10740.84,10595.211,10628.482,10864.708,10905.974
313,10693.315,10691.195,10540.625,10571.156,10818.342,10853.518
314,10701.154,10701.035,10537.51,10579.434,10826.35,10863.475
315,10724.046,10722.74,10574.461,10605.607,10850.585,10881.65
316,10749.807,10750.199,10593.628,10629.216,10875.777,10914.037
317,11105.079,11107.809,10939.031,10986.272,11221.987,11253.739
318,11321.7,11321.869,11160.635,11194.238,11437.484,11479.461
319,11191.908,11192.691,11035.956,11069.95,11311.6875,11349.201
320,11554.064,11554.8955,11397.668,11431.421,11684.195,11716.771
321,11356.71,11356.123,11193.923,11232.651,11474.132,11513.957
322,11168.62,11167.734,11001.277,11039.381,11292.317,11331.155
323,11190.301,11190.877,11027.29,11062.615,11320.174,11365.852
324,11105.668,11109.288,10945.375,10981.97,11224.694,11263.458
325,11006.102,11007.371,10846.889,10885.81,11128.903,11173.643
326,10981.002,10983.859,10822.207,10854.711,11104.559,11139.283
327,10959.367,10962.025,10790.484,10834.411,11081.148,11118.926
328,11188.087,11187.601,11036.212,11065.969,11309.099,11339.252
329,11535.427,11534.27,11367.95,11407.776,11652.688,11699.764
330,11614.558,11613.68,11443.184,11488.741,11745.213,11783.991
331,11240.964,11241.529,11085.904,11126.0205,11358.072,11392.183
332,11195.708,11197.944,11031.559,11071.51,11312.734,11350.297
333,10999.608,10999.117,10841.618,10877.693,11116.945,11149.02
334,11128.028,11124.209,10973.725,11008.218,11252.718,11297.707
335,11013.761,11016.73,10846.085,10886.643,11139.951,11171.917
336,12977.136,12972.338,12563.649,12651.94,13293.319,13422.8545
337,12454.273,12460.02,12205.331,12264.631,12629.652,12665.094
338,12083.401,12075.404,11705.839,11793.042,12396.768,12482.936
339,12056.738,12059.335,11838.7295,11878.846,12227.477,12270.645
